,0,12,16,20,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,100,144,168,192,312,360,432,480,600,792,864
1,0.007290909,0.001889286,10.87049231,12.1664,13.8078,6.534371429,4.761483333,2.132775,0.949227273,0.418109091,0.394991667,0.083333333,0.051042857,0.046483333,0.036175,0.017881818,0.011157143,0.00664,0.005014286,0.002083333,0.0016,0.020370588,0.000371429,0.00025,0.000257143,0.00013,3.33e-05,0.000121429,0.000145455,0.000107692,5e-05
2,0.009609091,0.000192857,10.57009231,12.09652,14.13895,6.2592,4.666416667,2.130225,0.964527273,0.438709091,0.425225,0.088455556,0.056742857,0.054766667,0.037775,0.017518182,0.015142857,0.0087,0.007171429,0.001941667,0.004075,0.016394118,0.001357143,0.00045,0.000407143,0.00097,0.000258333,0.001557143,0.000618182,0.002130769,0.00023
3,0.009772727,0.0018,10.07550769,12.32712,14.2443,6.486057143,4.800766667,2.244925,0.9811,0.444436364,0.429166667,0.0824,0.049757143,0.048683333,0.033891667,0.018127273,0.013042857,0.0074,0.004342857,0.001858333,0.00215,0.0194,0.001185714,5e-05,9.29e-05,0.00016,0.0004,0.000171429,0.000272727,0.0001,0.00015
