,0,4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,100,144,264,432,648,864
1,0.001372727,0.238257143,0.5550125,0.28575,0.0181,0.0246,0.008014286,0.010878571,0.0058625,0.00124,0.001371429,7.5e-05,0.0,0.000971429,0.0017125,4.29e-05,0.000528571,0.001385714,0.000644444,0.001125,3.57e-05,4.44e-05,0.0001,0.000378571,0.00084,0.00076,0.00025,0.000227273,0.00298125,0.000807692,0.000305263
2,0.000736364,0.232257143,0.5146875,0.2687875,0.0156,0.0242125,0.008507143,0.009771429,0.00485,0.00166,0.000628571,0.00115,0.0001125,7.86e-05,0.00035,0.000128571,7.14e-05,8.57e-05,0.000155556,7.5e-05,0.000235714,3.33e-05,0.0001,3.57e-05,0.00068,0.00024,0.000714286,0.000881818,0.0027375,0.000853846,0.000436842
3,0.000518182,0.237828571,0.5289375,0.28695,0.016444444,0.02545,0.009342857,0.00915,0.0041125,0.0022,0.0005,0.000175,0.000125,2.14e-05,2.5e-05,2.86e-05,0.000242857,0.0001,7.78e-05,2.5e-05,0.000342857,0.000322222,3.33e-05,6.43e-05,0.00032,0.00097,0.000671429,0.001009091,0.0030625,0.000792308,0.000584211
