,0,4,8,20,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,100,144,264,312,432,600,648,864
1,0.0007,0.000306897,5.29835,11.07805714,6.196657143,3.887118182,1.279116667,0.961133333,0.88042,0.353875,0.250346154,0.158475,0.07936,0.036553333,0.02685,0.024638889,0.020126667,0.013366667,0.008,0.01473,0.007342857,0.0258,0.008066667,0.002078571,0.000114286,0.000805,1.25e-05,0.0003,0.000427273
2,0.000928571,0.000334483,5.55945,10.3244,6.913671429,3.9002,1.263383333,0.962133333,0.88018,0.352458333,0.231592308,0.15125,0.07254,0.036226667,0.026807143,0.023222222,0.020773333,0.016383333,0.0086875,0.01219,0.007057143,0.030033333,0.009244444,0.002814286,0.000204762,0.00081,3.75e-05,0.000116667,0.000354545
3,0.000771429,0.000127586,5.3140875,10.25714286,6.481028571,3.545763636,1.173733333,0.881766667,0.77268,0.32255,0.215861538,0.13035,0.0673,0.034146667,0.025878571,0.02275,0.017793333,0.013183333,0.007575,0.01267,0.006592857,0.024633333,0.007955556,0.002735714,0.000119048,0.000695,0.000125,6.67e-05,0.000381818
