,0,4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,100,144,168,360,648,864
1,0.000369231,0.000336364,0.93636,0.286825,0.0579,0.01456,0.00862,0.004530769,0.004557143,0.004885714,0.00135,0.000425,0.000255556,0.000115385,0.0006,0.000428571,0.000144444,9.23e-05,0.000138462,7.69e-05,0.000190909,0.0004875,0.00016,0.000183333,0.000707143,0.0015,0.000135714,0.00021875,4.5e-05,0.000316667,0.000161538
2,0.001938462,0.001309091,1.05986,0.3062375,0.0596875,0.01495,0.0086,0.005723077,0.004714286,0.004257143,0.0015875,0.000325,0.000177778,0.000261538,0.001888889,0.0007,0.000388889,0.000984615,0.000276923,0.000807692,0.002718182,0.0008375,0.00074,0.000383333,0.000985714,0.000418182,0.00015,0.00035625,0.000685,0.000116667,0.000753846
3,0.001076923,0.001290909,1.098486667,0.3150375,0.0649375,0.0197,0.0207,0.012492308,0.008242857,0.001457143,0.001925,0.01225,0.002888889,0.000484615,1.11e-05,0.000271429,0.000544444,0.000107692,0.000138462,0.000269231,0.000227273,0.0005625,0.00012,0.00025,0.000457143,0.001063636,7.14e-06,3.125e-05,0.000515,0.000377778,0.000476923
